1,1001,Emma Collins,Trees,A ____ is a hierarchical data structure with a root node and child nodes.,0
1,1002,Liam Thompson,Trees,In a ____ tree each node has at most two children.,10
1,1003,Olivia Johnson,Trees,A ____ tree is a binary tree in which the left and right subtrees of any node differ in height by at most one.,20
1,1004,Noah Brown,Trees,The ____ traversal visits nodes in the order: left subtree root right subtree.,30
1,1005,Ava Martinez,Trees,The ____ traversal visits nodes in the order: root left subtree right subtree.,8
1,1006,William Davis,Trees,The ____ traversal visits nodes in the order: left subtree right subtree root.,16
1,1007,Sophia Wilson,Trees,A ____ is a type of binary tree where each node has at most two children and every child node has at most two children.,24
1,1008,James Garcia,Trees,In a ____ tree the parent node is always greater than or equal to its child nodes.,0
1,1009,Isabella Anderson,Trees,In a ____ tree the parent node is always smaller than or equal to its child nodes.,10
1,1010,Benjamin Lee,Trees,A ____ tree is a binary tree that maintains a specific order property.,20
1,1011,Mia Clark,Trees,In a ____ tree each node contains a key and pointers to its child nodes.,30
1,1012,Lucas Walker,Trees,A ____ tree is a tree where each node has exactly zero or two children.,8
1,1013,Amelia Hall,Trees,In a ____ tree each node has exactly zero one or two children.,16
1,1014,Henry Lewis,Trees,The ____ of a tree is the number of edges on the longest path from the root to a leaf.,24
1,1015,Evelyn Young,Trees,The ____ of a node in a tree is the number of edges from the node to the tree's root node.,0
1,1016,Alexander King,Trees,A ____ tree is a binary search tree that self-balances to maintain its height.,10
1,1017,Harper Wright,Trees,The ____ algorithm is used to insert a node in a binary search tree.,20
1,1018,Michael Scott,Trees,The ____ algorithm is used to delete a node from a binary search tree.,30
1,1019,Abigail Baker,Trees,A ____ tree is a tree where nodes can have multiple children.,8
1,1020,Daniel Green,Linked lists,In a ____ linked list the last node points back to the first node.,16
1,1021,Emily Adams,Linked lists,A ____ is a single unit in a linked list containing data and a pointer to the next node.,24
1,1022,Matthew Nelson,Linked lists,In a linked list the first node is called the ____.,0
1,1023,Ella Carter,Linked lists,The last node in a linked list is known as the ____.,10
1,1024,Aiden Mitchell,Linked lists,A ____ linked list allows traversal in both forward and backward directions.,20
1,1025,Madison Perez,Linked lists,In a ____ linked list each node has a pointer to the next node but not to the previous node.,30
1,1026,Jackson Roberts,Linked lists,In a ____ linked list each node has pointers to both the next and previous nodes.,8
1,1027,Scarlett Turner,Linked lists,A ____ linked list is a collection of nodes where each node points to the next node in the sequence.,16
1,1028,Logan Phillips,Linked lists,The ____ pointer of the last node in a linked list is set to null.,24
1,1029,Grace Campbell,Linked lists,In a ____ linked list each node contains data and a reference to the next node.,0
1,1030,Ethan Parker,Linked lists,A ____ linked list can be traversed starting from any node as it forms a loop.,10
1,1031,Chloe Evans,Linked lists,In a ____ linked list each node has a reference to the previous node.,20
1,1032,Jacob Edwards,Linked lists,The ____ operation in a linked list involves adding a new node at the beginning.,30
1,1033,Victoria Collins,Linked lists,The ____ operation in a linked list involves removing the first node.,8
1,1034,David Stewart,Linked lists,In a ____ linked list each node has a reference to both the next and previous nodes.,16
1,1035,Aria Sanchez,Linked lists,The ____ operation in a linked list involves adding a new node at the end.,24
1,1036,Joseph Morgan,Linked lists,In a ____ linked list each node points to the next node in the sequence.,0
1,1037,Lily Rogers,Linked lists,The ____ operation in a linked list involves removing the last node.,10
1,1038,Samuel Brooks,Linked lists,In a ____ linked list each node has a reference to the next node.,20
1,1039,Zoey Reed,Linked lists,The ____ operation in a linked list involves adding a new node after a given node.,30
1,1040,Anthony Bennett,Linked lists,A ____ is the basic element of a linked list.,8
1,1041,Layla Foster,Graphs,A ____ is a collection of nodes connected by edges.,16
1,1042,Christopher Hughes,Graphs,In a ____ graph the edges have no direction.,24
1,1043,Nora Simmons,Graphs,In a ____ graph the edges have a direction.,0
1,1044,Andrew Sanders,Graphs,The ____ of a graph is the number of vertices in the graph.,10
1,1045,Hannah Patterson,Graphs,The ____ of a graph is the number of edges in the graph.,20
1,1046,Joshua Price,Graphs,In a ____ graph there is a direct connection between every pair of nodes.,30
1,1047,Riley Flores,Graphs,In a ____ graph the edges have weights associated with them.,8
1,1048,Nathaniel Butler,Graphs,A ____ is a sequence of vertices connected by edges.,16
1,1049,Penelope Barnes,Graphs,A ____ is a path in which no vertices are repeated.,24
1,1050,Jack Ward,Graphs,A ____ is a path that starts and ends at the same vertex.,0
1,1051,Lillian Gray,Graphs,A ____ graph contains no cycles.,10
1,1052,Ryan Powell,Graphs,The ____ of a vertex is the number of edges connected to it.,20
1,1053,Ellie Bryant,Graphs,A ____ is a subgraph that includes all the vertices and is connected.,30
1,1054,Luke Ross,Graphs,A ____ is a connected subgraph that includes all the vertices and has no cycles.,8
1,1055,Mila Ramirez,Graphs,The ____ of a graph is a tree that spans all the vertices with the minimum possible total edge weight.,16
1,1056,Gabriel Griffin,Graphs,In a ____ graph every vertex has the same degree.,24
1,1057,Addison Russell,Graphs,A ____ is a graph where all vertices can be divided into two disjoint sets.,0
1,1058,Caleb Wood,Graphs,The ____ of a vertex is the number of edges directed into the vertex.,10
1,1059,Paisley Cox,Graphs,The ____ of a vertex is the number of edges directed out of the vertex.,20
1,1060,Isaac Bennett,Graphs,A ____ is a closed path with all edges and vertices distinct.,30
1,1061,Leah Kelly,Graphs,The ____ algorithm is used to find the shortest path from a single source to all other vertices.,8
1,1062,Julian Diaz,Stacks,A ____ is a linear data structure that follows the Last In First Out (LIFO) principle.,16
1,1063,Audrey Morales,Stacks,The ____ operation adds an element to the top of the stack.,24
1,1064,Owen Foster,Stacks,The ____ operation removes the top element from the stack.,0
1,1065,Aurora Richardson,Stacks,The ____ operation returns the top element of the stack without removing it.,10
1,1066,Levi Perry,Stacks,In a stack the last element added is the ____ element to be removed.,20
1,1067,Savannah Cook,Stacks,A ____ stack is implemented using an array or linked list.,30
1,1068,Dylan Cooper,Stacks,In a stack the ____ operation checks if the stack is empty.,8
1,1069,Stella Bailey,Stacks,The ____ operation checks if the stack is full.,16
1,1070,Zachary Bell,Stacks,In a stack the ____ pointer points to the top element.,24
2,1001,Emma Collins,Stacks,The ____ function checks if the stack is full.,0
2,1002,Liam Thompson,Stacks,In a stack the ____ pointer keeps track of the top element.,10
2,1003,Olivia Johnson,Stacks,A ____ stack is implemented using a linked list.,20
